Name,Payout,Address,Epochs selected,Amount of epochs selected,Missed epochs,Amount of total missed epochs
Unknown validator,none,NQ52 FF24 6C9N E9FH Q05R SUCY CBD9 HRVA 32F6,"1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,91,92,93,94,95,96,97,98,99,100",98,"5,12",2
Unknown validator,none,NQ74 HBNA LCQ3 700S CNP4 E26H G1L3 P6GX N5TV,"1,2,3,4,5,7,8,9,10,11,13,14,15,16,17,18,19,20,22,23,24,25,26,28,29,30,31,33,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,52,53,54,55,56,57,58,59,60,61,62,63,64,66,67,68,69,70,71,72,73,74,76,77,78,79,80,81,82,83,84,85,87,89,90,91,93,94,95,96,98,100",85,"1,94",2
Nova Pool,restake,NQ85 EA0M YF3E P9AX SM2C 58KX GD0B SXJE K2PJ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100",97,"1,4",2
Unknown validator,none,NQ92 DBSV VQY5 3B7X 24UK EMJD FDHH 1GE6 N0D2,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100",100,"18,25",2
Ritvars Staking,direct,NQ08 LMAK 00XK YYN9 CDXV ADVG CL0U HUBM J670,"7,9,11,13,14,16,20,21,24,26,34,36,37,39,42,44,45,47,48,49,51,52,53,54,56,57,58,59,60,62,63,65,67,68,69,71,72,75,76,77,78,83,85,87,89,92,93,97,98,99,100",51,"11,20,44",3
Unknown validator,none,NQ51 LM8E Q8LS 53TX GGDG 26M4 VX4Y XRE2 8JDT,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100",99,"3,4,45",3
ObsidianStake,direct,NQ15 5JNS U7CE RAH5 3T02 F8A9 JCT6 QMG9 7TSV,"1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100",99,"14,30,68,84",4
Unknown validator,none,NQ22 JK2P AYYN YJKK C9SR X0VR SUHG NBFE N449,"1,50,51,52,53,55,56,57,58,59,60,61,63,64,65,66,68,69,70,71,72,73,74,75,76,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,100",45,"50,68,82,94",4
Unknown validator,none,NQ26 TT94 M4LL F8QS UH4M XPQK 9P42 QNH9 XVNY,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100",100,"1,3,9,68",4
Siam Pool,restake,NQ38 VK34 DRBL S3CN M9KM 8UJN 9JY2 2KFN VQQH,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100",100,"1,5,11,40",4
nim.re Staking Pool,restake,NQ44 V95C ABVY RARR SBMC V8VE M6UH EJP0 RXYQ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100",100,"11,35,70,88",4
Mint Pool,restake,NQ53 M1NT S3JD TAGM CBTK 01PX YD3U B1DE GYHB,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100",100,"1,22,23,43",4
Unknown validator,none,NQ13 SY9E HDV2 TYHG XHNR 5LGX VUF6 0HX6 AHSL,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100",100,"1,3,4,5,13",5
Private Whalidator,none,NQ60 GH2T VEA2 CUR5 SXAD QU9B 7ELD YMG5 5T7U,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100",100,"1,2,7,12,78",5
Unknown validator,none,NQ85 TC1G HU2J ELHE PR5R P5KR DBGL 6ND1 090V,"1,2,3,4,5,6,7,8,9,10,13,14,15,17,18,19,20,21,22,25,26,28,30,32,33,34,35,36,38,39,40,41,42,44,46,47,87",37,"1,26,33,34,36",5
NimiqHub Staking,restake,NQ05 U1RF QJNH JCS1 RDQX 4M3Y 60KR K6CN 5LKC,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100",100,"11,12,65,66,72,85",6
Unknown validator,none,NQ26 0000 0000 02A5 YAK7 4QNF 9MH0 TE2B GVRU,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100",100,"8,11,13,14,17,55",6
Unknown validator,none,NQ62 5TEJ JM5T 6BE6 B543 KUEQ GHD1 SFF8 3F19,"8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100",93,"8,10,11,12,36,69",6
Techbits Validator,direct,NQ12 M1PJ QH7K DNAC JREU 0LD0 M4YS TQKA 751B,"8,10,13,14,23,39,42,57,72,81",10,"8,10,13,14,23,39,42,57,72,81",10
Unknown validator,none,NQ36 U0BH 0BHM J0EH UAE5 FMV6 D2EY 8TBP 50M3,"1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,49,51,52,53,54,55,57,58,59,60,61,62,64,65,67,68,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,94,95,96,97,98,99,100",91,"2,4,11,16,19,42,44,49,54,59,64,75,91",13
Keyring Staking,restake,NQ96 X97C 94M1 6MV3 KJ0G JA5U 6VB4 6Y63 EUH4,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100",99,"20,21,22,23,24,25,26,27,28,29,30,32,34,37,38,39,40,41,42",19
Moon Pool,restake,NQ98 D3KE 8EQ8 Y7DK G1MT 3P5T 2PHX 18V5 UEC1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100",99,"1,3,4,6,12,13,14,28,31,41,43,60,62,66,70,71,81,83,95,100",20
NimiqCafe Staking,restake,NQ83 4MVH 53Q4 AL3B Q097 55GJ LUQ3 GSF0 85B7,"12,14,15,16,17,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100",86,"25,31,36,37,40,42,45,47,48,49,50,51,52,54,55,56,57,59,60,61,62,63,64,65,66,67,69,71,72,73,74,75,76,77,78,79,80,81,82,84,85,86,87,90,92,93,96,97,98,99,100",51
