Address,Stake (Luna),Points
NQ11 3DN6 3QV2 5Q3L NKJ3 CA4H B5EK E9SJ MN29,39572900000,3555
NQ11 3LX7 AYPB F18F 7URA XTQR CT6F 17GS PG33,137927174313,12411
NQ11 5CV3 NE4S PX0N CF8V VN5X 1YFN ARU6 Q6NL,200010000000,18000
NQ11 8T4H GEH1 U8D6 RD29 XH5J R4S8 X5FG H548,509835425927,71372
NQ11 AYL0 4PUU 4J8B 8K12 707G 3CP1 LVGB 039G,12330269690,915
NQ11 BUD3 T23F JUVJ 3N5Y VVNK 8K9K 49BH NQL3,5030100000,700
NQ11 KGJA MGL4 5VQC YS8S MGAJ N01B 2DLU TNE6,100000000000,9000
NQ11 KSYV 6Y4D 42FE J2YA X8QX AKN4 6NB1 NCPQ,105059700,0
NQ11 Y9T6 F04N NSGP 8750 U935 HV3U J76L EARN,3878281528,475
NQ12 3NFL TUXP YJRK 9DT0 K3RJ 971D 8G7E L2DL,1646099494078,140000
NQ12 4ATT 4DVY XVUT VAJE TG6A HY0B 3B92 H7PE,330100000,22.5
NQ12 5BT7 9UHL L581 F0HB 29BE CKM3 ELKN RYDQ,703000000000,52725
NQ12 C636 YHCS R85F EH9X 28PV 7HSQ KEVS DK2E,307591200000,23062.5
NQ12 UC00 ADPH 6L9Q LLNP 8KLG G160 5QX1 1UT0,134241397876,11943
NQ13 5HN5 7HY8 LRF9 C38J YK0E HSGX KNM7 7JET,999999000000,59994
NQ13 7R9D U5TA 46B7 5L21 8YK8 U6V0 XADF YQLL,2815829469,336
NQ13 APKG 02T4 BH5V SHAN JE0F SYLV UCYQ Q2EM,259934800000,6497.5
NQ13 EGU2 LBMS 99AS 55K1 KSNC 7V0E EB5L T4YF,2487045629,216
NQ13 KYR0 L723 8G0V LMN0 KJ3Q YQPC 3ET2 1Y6C,336459200000,25362
NQ13 R7G3 0U43 FB74 2JL8 M4DB M0QM 9KFS LB6V,247910532,9
NQ13 RBGA X5JD PNEF 9U27 LQUJ Y06D MAQ1 VFK5,870893000000,71664
NQ13 UKS7 JSQB U8SA VVUR FFKX H8GF 28DJ V10M,300053300000,34398
NQ14 1P26 93DL N4BB 5JCV 7GJ9 D8NR ALCN S00V,726885817,28
NQ14 2294 3SE3 41MP 9TGR J0MB EMPF U3MN Q7AM,2180598424,189
NQ14 27HH LHTC 4V93 ARYE 4XAQ 6L8E YBHY HPK4,50000000000,3000
NQ14 2E6V MY9A QGHH 8K3K V6LX T7DQ UDQ9 V91M,50000000000,3750
NQ14 4DU3 JCTA RCRD 1S75 3BUD LRLU 6QLA T9U2,567821726,37.5
NQ14 B2FB 412B UJ6X YR2V 5341 6CNS 6SJP GSME,150313900000,16533
NQ14 BRLP S8FH KS8E US27 SR2Q 69FJ 0S9U 7EHF,7394700000,398
NQ14 DG8M AFJ2 9261 C8HR K7CV CUCR UDSQ 9RVH,7390100000,450
NQ14 F4KV TSCS JVFJ 0XH2 5GUJ EEXQ MY14 ESYY,198134815060,7924
NQ14 N0NS NTNG 9HY8 R613 GHUG TXAQ K88L T1N1,92214400000,7376
NQ14 NN91 MNC3 PKHS 2H69 XBCA 2T5J 0KGY 3JY6,362251516004,32598
NQ14 RTH9 BX8H NF4C 8UHF X6RJ 9S3S NALA UGHN,17941485446,1611
NQ14 SHBX DQC6 XPKP 03F4 EA0S JAVA YYPY F54D,103846168930,9342
NQ14 TMX4 5NXN 4ADB LFFH ASTA YYVJ DLG0 76Y0,180000000000,25200
NQ15 B3K6 52LR HCYA C473 FEPF S8VN FAJQ 6XKJ,51762228540,4653
NQ15 FCAQ LDAE Q0BK JTKB 7T28 T43C 6V1C 8EH0,20000000,0
NQ15 FHNR CJXU HVEL 59HE M6YL V0P4 AU4A 64L1,102053563955,9180
NQ15 FUXV Q9M0 L8AA JXGH 9R2Y V798 50AV 0S3B,150000000,12.5
NQ15 K4B1 K94U MFKS K7NP 2FHE VD4B D49F M4B8,3189708453,279
NQ15 KUFL 0LFJ AHKE KKGT 00PE C629 VVBE GVQY,2347153856,207
NQ15 LKUN HCHK 6N69 77XD J6GC JV2T BGS9 QLE6,100986038390,9081
NQ15 QDS8 P9TB BF1D 6RAY Y7M8 AHRG BKRV HEQP,6827382112716,90000
NQ15 TM54 9RD5 FPQP A679 99AD 87K6 MUK4 K5U9,2848285017,224
NQ16 1676 ALF8 6935 FL44 EBDP 2UA1 1Q5S 4CGR,3381531937,132
NQ16 1QNQ MQA8 R5YC JKP5 LGDK J25R YDNY NT9L,310053754,27
NQ16 3GUV 4EUE ULXF RD1N Q5BT 26YG 834H CPF2,1110443000,99
NQ16 4QV6 QGLA 9EEY RF57 C1FR 6BV5 Q3BP U0TK,131050400000,7854
NQ16 71PQ 3RKM 0GRK S3AT 8FA2 34R0 U5AR UMY6,1001796071299,90000
NQ16 8MJ7 HGTT 6UT1 6UC5 4CMD Q2FH P5P2 KRKP,1000000000000,90000
NQ16 AS5U BPTS PVCF LMHS HQR5 P94K H6EX N8BK,10468492519,780
NQ16 E4EC 6EAQ V4PY EC44 L4V0 J74E F7M4 T1KH,500184467248,45009
NQ16 MBBV K1TX ELCS RFB9 3ERE NCQ5 JQPR S66T,16974506946,1521
NQ16 T2FS U1L6 H2US S6R5 9PS8 3T6T 20AX S79S,1000000000000,90000
NQ16 VJ89 JSQP 9QFH QMTV H81S D76F RJL0 TS9E,284092181200,21300
NQ16 Y6A6 BLVD Q627 JN7H TL4E HC4F 89AJ 6DL5,8000098890669,90000
NQ17 2JUS EJK7 PE8M U18L 3AQF GB2F NE8B CHH2,2002888800000,40000
NQ17 BUXX 1464 E066 Q8MF 5YJ7 JY9C Q9Y6 HK7C,30000000000,2700
NQ17 DL8L M8FV KA8R B89V 1YEQ TSBB 42L4 CKC9,205136838502,18459
NQ17 G6JH AYTM BRFR PRPF 7R63 H5GP BGDH 24UM,1000000000000,90000
NQ17 H66B MBSA YHRD XF7H 2SGS 6PJY PHA3 H8EA,1281768087997,80000
NQ17 JGCT 76XJ ASRU D10E XN3L 2806 MA07 R2FD,34997500000,3141
NQ17 MUAT N6U9 C17U THC2 59GR VA57 JC4D F28P,169050927653,13520
NQ17 VERV F3MQ 283T NRSR FPJG 55BJ PMHC N8MD,744092422982,66960
NQ18 3G81 066U 0NNJ 5YLE RHXY U7PX GEEH AXJP,88213410392,2646
NQ18 8493 2V7L 47F1 ME8K LEUJ P76M 0VP8 QD5S,265651800000,15936
NQ18 BBL5 X82S 514Y 4KBS 15H0 K15T 9GY1 7ENB,529510066667,39712.5
NQ18 BUY8 XAER JEJ0 HPVL DMBA NTY0 PU9F D7NK,4627700000,414
NQ18 DVEM CYVT 68KH TNYU CH5Y EX7U H052 93MK,1019504781640,60000
NQ18 FT5N CQHJ 0CAJ YPTV M4MD AP3D GYGN LC7U,126163374000,9457.5
NQ18 LNM8 XDE8 CL00 7TU5 MHDA DPU0 BBV5 JHF8,91117440997,8199
NQ18 LSH5 QTD6 RGF8 E4J8 CY1L MK0F NE99 SANG,9527700000,855
NQ19 6FS8 Q8A1 G3RY CEB9 K03S 27LF 2V49 53S6,1000000000000,80000
NQ19 6Q02 M1UG CD2E M8PQ A0PL 3DL5 BN4J 0T29,10050000000,750
NQ19 7VUV AUUE F6UH CH6M 3BE7 2BMH D3YS 65CE,319327731300,23947.5
NQ19 9AUJ NDPA M8J4 1FKG S1B4 TNBA LV7K UV7J,2500000000,225
NQ19 BXV2 K8Q2 P5NR U7SV AY0C GRTQ 37F5 MASH,500000000000,45000
NQ19 HQDM Q2M3 993R NTTD FR4M QVUA AYH4 NSC2,9407312051,705
NQ19 LYQQ BL3N E4K6 AXCN CFB4 TDD4 LAN0 BYK1,117939110,8
NQ19 Q1VV US8S 04MG 7VFB QVC7 ATR5 Y3EL HPF3,53183002594,4779
NQ19 UFFX 0NTN 5TN7 RSSY NP2C 0JXF CURQ 92EC,1798585334,17
NQ20 2AKN 81KK BPD2 DJ4K P7MB C8QH MT5T NMN8,19963451706,1791
NQ20 367R EJY0 12F2 MLYN GV5N V6EU GQ5J JBQ4,1000000100000,90000
NQ20 4HNE 1BYB 7R7A UYRK BGB5 VFT3 4627 G0E3,35000000000,3150
NQ20 8HD6 4VVL 8QA5 09RY 0E66 VJ96 KPNF S3N4,150280722000,13518
NQ20 D3NH NT55 ARSH D4K5 GV93 KQNX F3KE X8AK,413888177113,37242
NQ20 FJ85 RG98 6EFN EBTN YGVN 02L5 LE08 2RBD,30911472036,2781
NQ20 T51N 5A7M 768V 3SE5 HVXC QYEB QBTT 690V,10000000000,900
NQ20 Y9UD JGYK 1N9B QDUD BA47 3VS5 TFSG R10T,6000001654,369
NQ21 1K6F PAU1 YPAU ETT4 FDMK P7B4 S1VK AVGT,1183100000,44
NQ21 5QCB 1LJJ 9CFS VEK9 6CED N894 S445 H1KH,3472956210,297
NQ21 6PP3 3YYG AH5B 9PF0 AENA U0L3 YKRL AVAE,40000000000,3600
NQ21 7RLX G9N7 3FS4 RVXA KRUX 8GQD R68D 76CQ,45010000000,2800
NQ21 GJ8A U6RC 0SRR XSJY YNL2 MRAL 5428 VF21,1000000000000,90000
NQ21 V0EU BTB0 SXKV JCKY HSX1 68UD 5L1G VXUD,13456814315,1206
NQ21 VVHY 9RFY 8XBB 755B HCDC X3BX SMD3 MJ8H,799254682,56
NQ21 X8M6 GQB5 LX26 3S18 YYP7 V2RK MNVX Q245,100000000000,9000
NQ22 270G HBSB XFBP 256H DBQ1 2RPA YDJD S232,150000000,12.5
NQ22 9L9Q RG8A G35C 50HR PM84 X4UC C5M1 KFCP,810218300000,32400
NQ22 DD0F L2SD XJDD G9MF XVVT CLMA AEBD BT3L,5565433878,495
NQ22 DPMB 50XJ 94MQ 4TKF QE19 B6EG 9Q5C AEHL,143285819954,12888
NQ22 EKC8 1THF 585R NB7G V7YB TS36 QLML 2QG1,28910000,0
NQ22 FML1 N2CH M6VP 03YP 2X38 2NRY N5P6 LX4X,7785352656,619
NQ22 J90L GJFT 8MB9 9BTU QTH0 610G KK2Q T3CN,10000000000,400
NQ22 JPQF LGEC JJS3 88F4 1BS5 YMRC QPJX XH51,1000000000000,90000
NQ22 KH96 R2NP C6CE T35U 9A90 BAD4 RH7A E9D5,80000000000,7200
NQ23 8NH8 95MJ GQFB DUXD 4KR1 B0DE BN7H 2PUR,5000000000,450
NQ23 BDPY 1HTY L198 XG3N QRYS 8A2X 7XEK 1D78,431019709,16
NQ23 C3G8 R9GU D485 AAUT H96Y BL6M VHRR B9JN,517913894748,46611
NQ23 DJHB 62E1 3K8X HHPR XKCU PJDD DNEQ KSLJ,200000100000,18000
NQ23 FUN5 UVTT YKFS 6DF8 PTVC S3GU RT61 VJR2,331986338440,19914
NQ23 GV75 0JPB 941R 1653 CVKN X1C1 GJ0A 8CLM,1049998580911,80000
NQ23 MG0J DQJ9 0S5M 2MFS HLRJ G1TA 7BN3 425N,513900590693,41112
NQ23 NNKJ 929U 7L79 GQN1 PA43 C9XU YU9D ESQ6,10002800000,900
NQ23 P2SB 9SDC 2VEQ R2T8 LQ59 T70U K61Y 1NTX,45202175443,4068
NQ23 P9YK 7PQ4 G8AA B50T 4957 UXX0 11L1 6Q4V,722055500000,64980
NQ23 QS2G 9SRF UC6G 06JC SKM8 APEG TL0U MR64,470397742,30
NQ23 SD8R 25BV A7J8 P1UA 3N9K FFSV NPHJ PVCP,11922809072,1626
NQ23 SLLS 3DRN 7DVT 26HX 7CTY V4QR GLQQ N3XL,26103027939,1950
NQ23 TL5C NX1G HCNE HP85 UJHR P1RQ VPM6 7VFX,952619542,35.5
NQ23 UMF4 Q81J L4J2 JHY6 18VR EA4B MFH9 D3KV,3288171382,153.5
NQ24 AHCM HGJA 43H4 AQK9 51QK 8SYS Q0S1 YPGQ,50000000000,4500
NQ24 DFQS 64RT XAF6 Q8SK VJHP DYRH JKE2 R9LH,197867507600,11868
NQ24 HVVL H0FV 9TXQ 3CL9 J5R4 VF20 R2XR LC48,5555500000,495
NQ24 J1PM UGFJ J8UN VBAD 801H VTQ7 5NY9 0YCQ,121272435970,10908
NQ24 JGGN MPGE R36B XQJG AV9J HXEN EU70 X7DX,999999000000,79992
NQ24 LY0G J0D1 D85M 3X55 0JHM L6LT G49K DP72,111111100000,4444
NQ24 M88V 57PV M3UX NREB RU8N Q9A7 60GF 3DMV,482935086,36
NQ24 QRLP YH05 08V2 9KS3 CFDE S23H 1PA9 USD4,999999000000,79992
NQ24 V4BF V2LS BKJC Y8GD SYK3 BER0 050D L3M1,872461644,100
NQ24 YER9 XDV8 MKQ7 UUGG 8PPT LCEE K2ND GEUQ,127477783965,11466
NQ25 07B4 VM3M GML0 B326 VJQB BX0Q MKKN GAXE,339526167200,30555
NQ25 180G BRQ3 001G LMBA DFRS 9R2X D8QN 74E3,12061821848,480
NQ25 1Q54 4JD7 KST0 SA7D HF6L A4JQ 2LB7 JXGN,160661834729,4824
NQ25 4L75 0LMH 3P7L 6CTK C5LN 7J2H X9PF R30K,10778504886,642
NQ25 AQ29 HFF1 JFBJ N75J 7KUH BXPD CV3U D2NT,70000000000,5600
NQ25 BHYQ C3NT ECBX DP3P ABEX 1KVM Y1SK NSD3,22134501058,1320
NQ25 G9GB NPF1 TME2 G5DS HCM8 HK54 0PUH PGNT,14678561032,1095
NQ25 GNC4 TDUU T6U6 C684 FM9G 03FY HYX5 DDQH,6021127834,540
NQ25 N17T GPKQ 7U4H FHMS PSAN H23U 4K1T CHVL,10300600000,618
NQ25 TEHY HJR5 6ALD 26GN YRGY VSVS P83L 0H9Q,37210017500,2232
NQ26 0G7Y UCCE CFB1 85SC PDDD 1XH6 2HQJ HPXQ,30625233,0
NQ26 2KUV FEMJ 5TQA VM5Y PL08 9JPK R0F7 M8H0,15000000000,1350
NQ26 747E 55L2 Y4UR S5D9 JASP QGYQ 9K3M QX53,325135145122,21132.5
NQ26 7U1H S907 FP30 6ALP 69DM JQS4 1CQH KS1T,68377171,0
NQ26 8B8X R9LF NA0R BYV0 PET7 2R1U EAJY B66K,400057400000,35991
NQ26 FH2R MR90 J1SD J3MK PALR JDBG HRL0 6GAY,12982925115,939
NQ26 MV2J JPXG Q5LH 34EB 9M2C P8X1 DHG0 8453,466663939894,41994
NQ26 SBGH QMJT MX93 JL6U Y87X SBBL 8475 KK43,12813600000,127
NQ26 SN5K M7LK PHM4 LAR6 HK1H B7DY ALG0 F72E,517397057903,46557
NQ26 T61M RU91 3FEB JB9M 0E3E 8C9N Q6MU 8GXM,1000000000000,90000
NQ27 0VF0 KJU4 TF1Y XK9H LEXQ BBX8 GQ61 TSP5,2191810000,157.5
NQ27 1SKE NQVB VAUX 188L UV8J 2GN9 7V85 92NB,208819500000,18792
NQ27 358T 55BG H0D9 4579 QY7S 08TR 7BX6 RP4M,70000000,0
NQ27 AAFN D9KS 67VN C5HX 5H7C Q3GT 32DM CHU7,22114985050,2431
NQ27 C749 BQEM MG11 LEAS F4VS AKLV Q9PL PN4Q,429999967010,38691
NQ27 DFM2 2A5E KXJH FV9G TH3M RNL0 JQXP 8CEV,209764962000,15727.5
NQ27 EY7A Q0CA GMTK PPC5 GJ5D M91Y UF91 V59H,111300000000,15568
NQ27 GDAH 7U33 7M0L PS3J SPUH JX49 JAK1 QPBH,192390000,13
NQ27 HLK2 VELT LJ1K M050 4Y3E CQUT M9U0 DGBG,10552604215,945
NQ27 J44L 17KY 33ME M03B 7VYP TVUS XJ65 61SL,1000000000000,90000
NQ27 J492 02C6 NE50 UNCB BTHH FVGR 4RJM 74Q1,1161641000000,90000
NQ27 LK4G Y1Q9 FSCJ 5R1C UVRK 1M38 AXGG LS67,213614261633,17080
NQ27 NCB1 3CYU 9P4L EM2V D7L2 28QE 36PA EXB1,19074247929,1710
NQ27 PHLG 7UFY V2JD UNUR EB9U AFCU KNN0 8G1Q,1860000000,108
NQ27 Q56C H9M6 9KYF 1D4M FAXG VS88 BCAJ HKQ2,476140704596,61893
NQ27 RPQ5 HHU5 H7RC TJR5 DG89 54NM XHPV G5YE,4862900000,360
NQ27 TFVB 63NL V8S6 F0P7 95F1 HFNA DFVB 22DN,3500000000,262.5
NQ28 188Y TVAJ H1E4 TT7R S4QG SK0R F4Q0 H0LB,1059571296210,69042.5
NQ28 34P4 BT6B TRMN YAEK GBQA M5U5 JG4F QQFB,506427303230,40512
NQ28 64R2 9APR Q6VM XY8X UE82 NNYB TVR4 RL5P,9382900000,697.5
NQ28 8FFU 8PDY DQAX JF05 RY0C XVM0 U41Y DHLM,465776338,16
NQ28 8S5E UD70 D2TK Q1SC VQBF S246 5HH1 2FYX,153599385227,11512.5
NQ28 9245 2AEY XSBT K8EP L05V 8QDK XSMQ 9462,651431200000,39084
NQ28 B5YC U23A GJHE 7G7C 0C2L TNPX 3NT6 YKP9,5949000000,472
NQ28 CGYR 064Q J12J 8V0C 3DUJ K1UA LH19 NFDU,1114429445,154
NQ28 GXP1 RQCK 4KB2 88BF 4G04 U4KD 1D5B 8KRV,15288700000,1368
NQ28 HJAY PDBF TVJM 7075 5L6R 8DV2 224G 776S,1269526653,136
NQ28 MNK4 NYN8 KEN4 MQQP UY7B GKRD 2TDC E5YL,121861434409,10962
NQ28 PHQD 5TB2 K2UF 5HMN HDRV MTML S0MS XEFY,100000000000,9000
NQ28 S4RD VGG3 AF3X 63XN 8R3X 90QU P766 Y014,628213972,48
NQ28 V0AP Y89M 4DLD DUB1 0MQD 0BXR Y78G T37L,999999000000,79992
NQ28 X4AE 7RTR 7J5M FJ6S S674 518G GFJB 7EYM,10839410000,972
NQ28 XRA8 306E 1TGY 15S2 35PE LKG3 UH7E FCY6,16917495199,1521
